מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 4,102,2,MG,0,3,77.62,30.7,0,0,28,,מזרח,1.563.811
בנין 4,102,3,NG,0,6,138.38,85.81,0,0,26,,מז-דר,2.909.371
בנין 4,102,4,G,1,5.5,134.12,17.291,6.01,10,32,,מז-צפ,2.443.335
בנין 4,102,5,M,1,3,77.62,11.78,7.2,47,23,,מזרח,1.469.683
בנין 4,102,6,N,1,6,138.38,16.71,6.229,55,8,9,מז-דר,2.564.770
בנין 4,102,7,G,2,5.5,134.12,17.291,8.47,25,138,,מז-צפ,2.485.312
בנין 4,102,8,M,2,3,77.62,11.78,10.27,21,144,,מזרח,1.505.784
בנין 4,102,9,N,2,6,138.38,16.71,8.36,24,140,68,מז-דר,2.605.753
בנין 4,102,10,P,2,5,123.34,15.4,8.47,7,58,,מע-דר,2.292.029
בנין 4,102,11,Q,2,5,125.68,16.46,7.8,13,25,,מע-צפ,2.331.063
בנין 4,102,12,G,3,5.5,134.12,17.291,12.49,35,176,,מז-צפ,2.538.385
בנין 4,102,13,M,3,3,77.62,11.78,10.73,14,30,,מזרח,1.524.320
בנין 4,102,14,N,3,6,138.38,16.71,10.35,54,181,145,מז-דר,2.646.061
בנין 4,102,15,P,3,5,123.34,15.4,6.26,36,175,,מע-דר,2.300.182
בנין 4,102,16,Q,3,5,125.68,16.46,7.04,37,174,,מע-צפ,2.349.611
בנין 4,102,17,G,4,5.5,134.12,17.291,6.37,51,178,,מז-צפ,2.521.409
בנין 4,102,18,M,4,3,77.62,11.78,7.78,12,139,,מזרח,1.519.176
בנין 4,102,19,N,4,6,138.38,16.71,7.8,53,180,,מז-דר,2.602.806
בנין 4,102,20,P,4,5,123.34,15.4,9.65,38,232,,מע-דר,2.347.022
בנין 4,102,21,Q,4,5,125.68,16.46,8.89,39,233,,מע-צפ,2.386.226
בנין 4,102,22,G,5,5.5,134.12,17.291,7.79,52,179,,מז-צפ,2.531.297
בנין 4,102,23,M,5,3,77.62,11.78,6.46,29,102,,מזרח,1.509.984
בנין 4,102,25,P,5,5,123.34,15.4,7.99,40,230,,מע-דר,2.335.463
בנין 4,102,26,Q,5,5,125.68,16.46,10.11,41,226,,מע-צפ,2.394.722
בנין 4,102,27,G,6,5.5,134.12,17.291,9.11,50,182,,מז-צפ,2.540.489
בנין 4,102,28,M,6,3,77.62,11.78,0,0,96,,מזרח,1.465.000
בנין 4,102,30,P,6,5,123.34,15.4,10.85,42,224,,מע-דר,2.355.378
בנין 4,102,31,Q,6,5,125.68,16.46,6.46,49,183,,מע-צפ,2.369.305
בנין 4,102,33,M,7,3,77.62,11.78,0,0,95,,מזרח,1.479.650
בנין 4,102,34,N,7,6,138.38,16.71,6.01,48,184,,מז-דר,2.616.245
בנין 4,102,35,P,7,5,123.34,15.4,6.3,43,223,,מע-דר,2.346.932
בנין 4,102,36,Q,7,5,125.68,16.46,8.36,44,222,,מע-צפ,2.406.361
בנין 4,102,38,M,8,3,77.62,11.78,0,0,173,,מזרח,1.494.300
בנין 4,102,40,P,8,5,123.34,15.4,8.47,45,220,,מע-דר,2.385.582
בנין 4,102,41,Q,8,5,125.68,16.46,7.39,46,185,,מע-צפ,2.423.297
בנין 4,102,42,G,9,5.5,134.12,17.291,6.46,11,31,,מז-צפ,2.597.697
בנין 4,102,43,M,9,3,77.62,11.78,0,0,221,,מזרח,1.508.950
בנין 4,102,45,P,9,5,123.34,15.4,7.2,27,97,,מע-דר,2.399.861
בנין 4,102,46,Q,9,5,125.68,16.46,6.3,23,141,,מע-צפ,2.439.237
בנין 4,102,47,G,10,5.5,134.12,17.291,0,0,27,,מז-צפ,2.576.134
בנין 4,102,48,M,10,3,77.62,11.78,0,0,225,,מזרח,1.523.600
בנין 4,102,49,N,10,6,138.38,16.71,0,0,177,,מז-דר,2.650.431
בנין 4,102,50,P,10,5,123.34,15.4,6.37,31,143,,מע-דר,2.417.149
בנין 4,102,51,Q,10,5,125.68,16.46,10.85,22,142,,מע-צפ,2.495.870
בנין 4,102,52,G,11,5.5,134.12,17.291,0,0,29,,מז-צפ,2.600.905
בנין 4,102,53,M,11,3,77.62,11.78,0,0,227,,מזרח,1.538.250
בנין 4,102,54,N,11,6,138.38,16.71,0,0,24,,מז-דר,2.675.916
בנין 4,102,55,P,11,5,123.34,15.4,7.04,17,146,,מע-דר,2.445.290
בנין 4,102,56,Q,11,5,125.68,16.46,8.89,19,150,,מע-צפ,2.505.538
בנין 4,102,57,G,12,5.5,134.12,17.291,0,0,93,,מז-צפ,2.625.675
בנין 4,102,58,M,12,3,77.62,11.78,0,0,228,,מזרח,1.552.900
בנין 4,102,59,N,12,6,138.38,16.71,0,0,33,,מז-דר,2.701.401
בנין 4,102,60,P,12,5,123.34,15.4,9.11,30,101,,מע-דר,2.483.858
בנין 4,102,61,Q,12,5,125.68,16.46,6.01,28,103,,מע-צפ,2.508.142
בנין 4,102,63,M,13,3,77.62,11.78,0,0,231,,מזרח,1.567.550
בנין 4,102,65,P,13,5,123.34,15.4,7.39,26,104,,מע-דר,2.494.475
בנין 4,102,66,Q,13,5,125.68,16.46,10.63,34,100,,מע-צפ,2.566.227
בנין 4,102,67,S,14,3,82.89,15.31,7.39,8,65,,מז-צפ,1.756.770
בנין 4,102,68,M,14,3,77.62,11.78,10.85,4,62,,מזרח,1.663.797
בנין 4,102,69,R,14,3,83.34,15.05,7.2,9,66,,מז-דר,1.762.335
בנין 4,102,70,P,14,5,123.34,15.4,7.91,33,99,,מע-דר,2.521.698
בנין 4,102,71,Q,14,5,125.68,16.46,7.79,32,98,,מע-צפ,2.568.852
