מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 5,102,1,N,0,6,138.38,144.06,0,0,90,,מז-צפ,3.213.586
בנין 5,102,2,M,0,3,77.62,70.77,0,0,109,,מזרח,1.773.079
בנין 5,102,3,N,0,6,138.38,175.24,0,0,22,,מז-דר,3.376.425
בנין 5,102,4,N,1,6,138.38,16.71,0,0,189,19,מז-צפ,2.522.696
בנין 5,102,5,M,1,3,77.62,11.78,8.09,42,219,,מזרח,1.475.694
בנין 5,102,6,N,1,6,138.38,16.71,8.87,30,135,,מז-דר,2.531.949
בנין 5,102,7,N,2,6,138.38,16.71,8.13,58,166,,מז-צפ,2.553.002
בנין 5,102,8,M,2,3,77.62,11.78,10.23,3,53,,מזרח,1.505.511
בנין 5,102,9,N,2,6,138.38,16.71,9.22,62,161,162,מזר-דר,2.611.622
בנין 5,102,10,P,2,5,123.34,15.4,11.41,35,88,,מע-דר,2.312.092
בנין 5,102,11,P,2,5,123.34,15.4,6.22,46,212,,מע-צפ,2.276.675
בנין 5,102,12,N,3,6,138.38,16.71,6.89,60,164,,מז-צפ,2.570.505
בנין 5,102,13,M,3,3,77.62,11.78,5.69,28,111,,מזרח,1.489.576
בנין 5,102,14,N,3,6,138.38,16.71,7.38,59,165,,מזר-דר,2.573.883
בנין 5,102,15,P,3,5,123.34,15.4,10.85,45,213,,מע-דר,2.331.825
בנין 5,102,16,P,3,5,123.34,15.4,10.23,44,215,,מע-צפ,2.327.550
בנין 5,102,17,N,4,6,138.38,16.71,7.07,61,163,,מז-צפ,2.597.723
בנין 5,102,18,M,4,3,77.62,11.78,0,0,170,,מזרח,1.465.000
בנין 5,102,19,N,4,6,138.38,16.71,7.67,56,168,,מזר-דר,2.601.901
בנין 5,102,20,P,4,5,123.34,15.4,10.85,43,218,,מע-דר,2.355.378
בנין 5,102,21,P,4,5,123.34,15.4,9.09,27,129,,מע-צפ,2.343.123
בנין 5,102,22,N,5,6,138.38,16.71,0,0,216,,מז-צפ,2.548.492
בנין 5,102,23,M,5,3,77.62,11.78,0,0,171,,מזרח,1.465.000
בנין 5,102,25,P,5,5,123.34,15.4,6.22,26,130,,מע-דר,2.323.138
בנין 5,102,26,P,5,5,123.34,15.4,10.85,25,131,,מע-צפ,2.355.378
בנין 5,102,28,M,6,3,77.62,11.78,10.85,2,56,,מזרח,1.540.553
בנין 5,102,30,P,6,5,123.34,15.4,10.23,24,133,,מע-דר,2.351.061
בנין 5,102,31,P,6,5,123.34,15.4,10.85,23,136,,מע-צפ,2.355.378
בנין 5,102,33,M,7,3,77.62,11.78,0,0,172,,מזרח,1.479.650
בנין 5,102,35,P,7,5,123.34,15.4,8.09,22,137,,מע-דר,2.359.521
בנין 5,102,36,P,7,5,123.34,15.4,6.75,34,105,,מע-צפ,2.350.097
בנין 5,102,38,M,8,3,77.62,11.78,5.31,49,191,,מזרח,1.532.015
בנין 5,102,39,N,8,6,138.38,16.71,5.31,29,110,,מזר-דר,2.637.177
בנין 5,102,40,P,8,5,123.34,15.4,6.92,33,106,,מע-דר,2.374.572
בנין 5,102,41,P,8,5,123.34,15.4,9.18,32,107,,מע-צפ,2.390.624
בנין 5,102,43,M,9,3,77.62,11.78,8.87,50,214,,מזרח,1.572.569
בנין 5,102,45,P,9,5,123.34,15.4,7.07,41,82,,מע-דר,2.398.928
בנין 5,102,46,P,9,5,123.34,15.4,6.89,40,83,,מע-צפ,2.397.637
בנין 5,102,48,M,10,3,77.62,11.78,6.38,51,190,,מזרח,1.569.804
בנין 5,102,50,P,10,5,123.34,15.4,7.38,39,84,,מע-דר,2.424.464
בנין 5,102,51,P,10,5,123.34,15.4,8.13,38,85,,מע-צפ,2.429.895
בנין 5,102,53,M,11,3,77.62,11.78,9.18,52,188,,מזרח,1.605.371
בנין 5,102,55,P,11,5,123.34,15.4,7.15,37,86,,מע-דר,2.446.094
בנין 5,102,56,P,11,5,123.34,15.4,7.02,36,87,,מע-צפ,2.445.144
בנין 5,102,57,N,12,6,138.38,16.71,0,0,217,,מז-צפ,2.701.401
בנין 5,102,58,M,12,3,77.62,11.78,6.92,53,187,,מזרח,1.603.978
בנין 5,102,60,P,12,5,123.34,15.4,6.75,12,34,,מע-דר,2.466.438
בנין 5,102,61,P,12,5,123.34,15.4,6.92,11,35,,מע-צפ,2.467.693
בנין 5,102,63,M,13,3,77.62,11.78,11.41,55,169,,מזרח,1.652.564
בנין 5,102,65,P,13,5,123.34,15.4,11.16,13,18,,מע-דר,2.522.565
בנין 5,102,66,P,13,5,123.34,15.4,5.31,8,37,,מע-צפ,2.478.977
בנין 5,102,67,R,14,3,83.34,15.05,8.87,9,55,,מז-צפ,1.774.894
בנין 5,102,68,M,14,3,77.62,11.78,9.09,47,211,,מזרח,1.650.561
בנין 5,102,69,R,14,3,83.34,15.05,4.71,14,52,,מזר-דר,1.743.609
בנין 5,102,70,P,14,5,123.34,15.4,5.69,7,38,,מע-דר,2.505.003
בנין 5,102,71,P,14,5,123.34,15.4,0,0,20,,מע-צפ,2.462.211
