מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 6,102,1,GG,0,5.5,134.12,73.96,7.2,30,124,,מז-צפ,2.823.146
בנין 6,102,2,MG,0,3,77.62,58.39,0,0,210,,מזרח,1.708.424
בנין 6,102,3,NG,0,6,138.38,168.86,0,0,197,,מז-דר,3.343.105
בנין 6,102,4,G,1,5.5,134.12,17.291,6.22,40,78,79,מז-צפ,2.495.412
בנין 6,102,5,M,1,3,77.62,11.78,7.27,22,118,,מזרח,1.470.155
בנין 6,102,6,N,1,6,138.38,16.71,8.498,63,157,158,מז-דר,2.580.096
בנין 6,102,7,G,2,5.5,134.12,17.291,8.86,39,76,77,מז-צפ,2.539.154
בנין 6,102,8,M,2,3,77.62,11.78,5.86,25,121,,מזרח,1.475.690
בנין 6,102,9,N,2,6,138.38,16.71,7.91,61,153,2,מז-דר,2.602.682
בנין 6,102,10,P,2,5,123.34,15.4,5.45,26,123,,מע-דר,2.271.420
בנין 6,102,11,Q,2,5,125.68,16.46,5.56,24,120,,מע-צפ,2.315.777
בנין 6,102,12,G,3,5.5,134.12,17.291,6.11,23,119,,מז-צפ,2.494.403
בנין 6,102,13,M,3,3,77.62,11.78,9.15,53,209,,מזרח,1.513.428
בנין 6,102,14,N,3,6,138.38,16.71,6.29,42,154,,מז-דר,2.566.369
בנין 6,102,15,P,3,5,123.34,15.4,7.2,54,112,,מע-דר,2.306.662
בנין 6,102,16,Q,3,5,125.68,16.46,7.93,55,156,,מע-צפ,2.355.746
בנין 6,102,17,G,4,5.5,134.12,17.291,6.83,52,208,,מז-צפ,2.524.612
בנין 6,102,18,M,4,3,77.62,11.78,7.2,8,40,,מזרח,1.515.137
בנין 6,102,19,N,4,6,138.38,16.71,5.46,50,205,,מז-דר,2.586.512
בנין 6,102,20,P,4,5,123.34,15.4,5.86,49,203,,מע-דר,2.320.631
בנין 6,102,21,Q,4,5,125.68,16.46,5.56,48,202,,מע-צפ,2.363.038
בנין 6,102,22,G,5,5.5,134.12,17.291,6.11,47,201,,מז-צפ,2.519.599
בנין 6,102,23,M,5,3,77.62,11.78,7.39,9,5,,מזרח,1.516.460
בנין 6,102,25,P,5,5,123.34,15.4,7.384,59,198,,מע-דר,2.331.243
בנין 6,102,26,Q,5,5,125.68,16.46,5.91,58,195,,מע-צפ,2.365.475
בנין 6,102,28,M,6,3,77.62,11.78,8.87,10,94,,מזרח,1.526.766
בנין 6,102,30,P,6,5,123.34,15.4,10.84,51,207,,מע-דר,2.355.309
בנין 6,102,31,Q,6,5,125.68,16.46,10.62,62,151,,מע-צפ,2.398.273
בנין 6,102,33,M,7,3,77.62,11.78,0,0,59,,מזרח,1.479.650
בנין 6,102,35,P,7,5,123.34,15.4,4.51,57,196,,מע-דר,2.334.343
בנין 6,102,36,Q,7,5,125.68,16.46,5.91,34,114,,מע-צפ,2.389.130
בנין 6,102,38,M,8,3,77.62,11.78,10.62,38,70,,מזרח,1.569.731
בנין 6,102,40,P,8,5,123.34,15.4,6.38,35,117,,מע-דר,2.370.737
בנין 6,102,41,Q,8,5,125.68,16.46,7.78,36,116,,מע-צפ,2.426.067
בנין 6,102,43,M,9,3,77.62,11.78,7.91,37,72,,מזרח,1.565.683
בנין 6,102,45,P,9,5,123.34,15.4,4.52,33,115,,מע-דר,2.380.639
בנין 6,102,46,Q,9,5,125.68,16.46,5.45,4,44,,מע-צפ,2.433.140
בנין 6,102,47,G,10,5.5,134.12,17.291,0,0,193,,מז-צפ,2.576.134
בנין 6,102,48,M,10,3,77.62,11.78,4.51,11,42,,מזרח,1.556.261
בנין 6,102,50,P,10,5,123.34,15.4,5.91,12,41,,מע-דר,2.413.818
בנין 6,102,51,Q,10,5,125.68,16.46,7.27,46,200,,מע-צפ,2.469.943
בנין 6,102,52,G,11,5.5,134.12,17.291,0,0,128,,מז-צפ,2.600.905
בנין 6,102,53,M,11,3,77.62,11.78,0,0,54,,מזרח,1.538.250
בנין 6,102,55,P,11,5,123.34,15.4,8.89,45,204,,מע-דר,2.458.817
בנין 6,102,56,Q,11,5,125.68,16.46,7.03,43,206,,מע-צפ,2.491.938
בנין 6,102,57,G,12,5.5,134.12,17.291,0,0,21,,מז-צפ,2.625.675
בנין 6,102,58,M,12,3,77.62,11.78,9.15,7,132,,מזרח,1.620.438
בנין 6,102,60,P,12,5,123.34,15.4,8.87,56,155,,מע-דר,2.482.086
בנין 6,102,61,Q,12,5,125.68,16.46,9.65,44,199,,מע-צפ,2.535.010
בנין 6,102,63,M,13,3,77.62,11.78,0,0,108,,מזרח,1.567.550
בנין 6,102,65,P,13,5,123.34,15.4,12.49,41,194,,מע-דר,2.532.474
בנין 6,102,66,Q,13,5,125.68,16.46,7.39,31,113,,מע-צפ,2.542.086
בנין 6,102,67,S,14,3,82.89,15.31,9.91,3,45,,מז-צפ,1.775.721
בנין 6,102,68,M,14,3,77.62,11.78,0,0,91,,מזרח,1.582.200
בנין 6,102,69,R,14,3,83.34,15.05,7.78,13,3,,מז-דר,1.766.697
בנין 6,102,70,P,14,5,123.34,15.4,6.29,18,75,,מע-דר,2.509.515
בנין 6,102,71,Q,14,5,125.68,16.46,9.65,20,74,,מע-צפ,2.582.840
