מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 3,101,2,CG,0,3,74.29,45.35,0,0,43,,מזרח,1.582.351
בנין 3,101,4,B,1,5,127.68,12.26,8.95,56,20,,דר-מז,2.322.475
בנין 3,101,5,C,1,3,74.29,12.43,12.37,32,17,,מזרח,1.451.665
בנין 3,101,6,A,1,6,137.79,16.8,9.37,24,33,36,מז-צפ,2.576.479
בנין 3,101,7,B,2,5,127.68,12.26,10.82,34,101,,דר-מז,2.359.179
בנין 3,101,8,C,2,3,74.29,12.43,12.39,66,18,,מזרח,1.466.767
בנין 3,101,9,A,2,6,137.79,16.8,9.37,58,99,96,מז-צפ,2.603.040
בנין 3,101,10,E,2,5,124.16,14.19,7.38,33,100,,מע-צפ,2.292.388
בנין 3,101,11,D,2,6,138.66,14.19,8.61,59,98,95,מע-דר,2.599.338
בנין 3,101,12,B,3,5,127.68,12.26,9.79,38,83,,דר-מז,2.376.152
בנין 3,101,13,C,3,3,74.29,12.43,9.79,39,86,,מזרח,1.463.810
בנין 3,101,14,A,3,6,137.79,16.8,10.56,60,94,97,מז-צפ,2.637.805
בנין 3,101,15,E,3,5,124.16,14.19,8.53,61,200,,מע-צפ,2.323.707
בנין 3,101,16,D,3,6,138.66,14.19,7.85,62,201,,מע-דר,2.568.919
בנין 3,101,17,B,4,5,127.68,12.26,8.01,63,202,,דר-מז,2.387.758
בנין 3,101,18,C,4,3,74.29,12.43,8.06,64,203,,מזרח,1.466.549
בנין 3,101,19,A,4,6,137.79,16.8,11.29,65,204,,מז-צפ,2.617.308
בנין 3,101,20,E,4,5,124.16,14.19,6.38,49,77,,מע-צפ,2.332.208
בנין 3,101,21,D,4,6,138.66,14.19,9.11,47,78,,מע-דר,2.603.642
בנין 3,101,22,B,5,5,127.68,12.26,7.64,46,79,,דר-מז,2.385.182
בנין 3,101,23,C,5,3,74.29,12.43,9.78,45,80,,מזרח,1.478.527
בנין 3,101,24,A,5,6,137.79,16.8,7.87,50,81,,מז-צפ,2.593.493
בנין 3,101,25,E,5,5,124.16,14.19,6.89,51,82,,מע-צפ,2.335.759
בנין 3,101,26,D,5,6,138.66,14.19,6.95,52,84,,מע-דר,2.588.601
בנין 3,101,27,B,6,5,127.68,12.26,6.97,53,85,,דר-מז,2.380.516
בנין 3,101,28,C,6,3,74.29,12.43,5.53,54,87,,מזרח,1.448.932
בנין 3,101,29,A,6,6,137.79,16.8,6.87,55,88,,מז-צפ,2.586.529
בנין 3,101,32,B,7,5,127.68,12.26,10.3,37,104,,דר-מז,2.427.742
בנין 3,101,33,C,7,3,74.29,12.43,9.23,40,89,,מזרח,1.489.444
בנין 3,101,34,A,7,6,137.79,16.8,8.1,36,103,,מז-צפ,2.621.045
בנין 3,101,37,B,8,5,127.68,12.26,7.54,35,102,,דר-מז,2.432.175
בנין 3,101,38,C,8,3,74.29,12.43,9,75,192,,מזרח,1.502.557
