מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 3,101,39,A,8,6,137.79,16.8,7.44,48,93,,מז-צפ,2.642.308
בנין 3,101,40,E,8,5,124.16,14.19,8.06,30,193,,מע-צפ,2.390.784
בנין 3,101,41,D,8,6,138.66,14.19,7.51,42,92,,מע-דר,2.644.350
בנין 3,101,42,B,9,5,127.68,12.26,7.86,43,91,,דר-מז,2.458.315
בנין 3,101,43,C,9,3,74.29,12.43,8.05,29,194,,מזרח,1.510.474
בנין 3,101,44,F,9,3,78.1,66.1,6.54,77,197,,מז-צפ,1.856.665
בנין 3,101,45,E,9,5,124.16,14.19,11.39,44,90,,מע-צפ,2.438.107
בנין 3,101,46,D,9,6,138.66,14.19,10.57,26,34,31,מע-דר,2.746.015
בנין 3,101,47,B,10,5,127.68,12.26,12.16,78,198,,דר-מז,2.513.323
בנין 3,101,48,C,10,3,74.29,12.43,9,41,105,,מזרח,1.532.019
בנין 3,101,49,F,10,3,78.1,11.36,10.3,71,210,,מז-צפ,1.604.601
בנין 3,101,50,E,10,5,124.16,14.19,13.67,79,199,,מע-צפ,2.478.290
בנין 3,101,51,D,10,6,138.66,14.19,7.38,67,206,,מע-דרום,2.695.259
בנין 3,101,52,B,11,5,127.68,12.26,10.82,68,207,,דר-מז,2.527.692
בנין 3,101,53,C,11,3,74.29,12.43,7.54,69,208,,מזרח,1.536.075
בנין 3,101,54,F,11,3,78.1,11.36,8.11,70,209,,מז-צפ,1.604.018
בנין 3,101,56,D,11,6,138.66,14.19,9.79,73,188,205,מע-דרום,2.793.633
בנין 3,101,57,B,12,5,127.68,12.26,9.79,72,185,,דר-מז,2.544.162
בנין 3,101,58,C,12,3,74.29,12.43,7.85,28,76,,מזרח,1.552.992
בנין 3,101,59,F,12,3,78.1,11.36,9.23,74,191,,מז-צפ,1.627.561
בנין 3,101,61,D,12,6,138.66,14.19,11.82,76,195,196,מע-דרום,2.835.223
בנין 3,101,62,B,13,5,127.68,12.26,8.36,27,190,,דר-מז,2.557.509
בנין 3,101,63,C,13,3,74.29,12.43,8.95,23,189,,מזרח,1.575.839
בנין 3,101,64,F,13,3,78.1,11.36,8.78,22,187,,מז-צפ,1.639.563
בנין 3,101,66,D,13,6,138.66,14.19,6.87,21,186,,מע-דרום,2.769.207
בנין 3,101,67,B,14,5,127.68,12.26,5.56,20,184,,דר-מז,2.560.354
בנין 3,101,68,C,14,3,74.29,12.43,6.97,19,183,,מזרח,1.575.676
בנין 3,101,71,D,14,6,138.66,14.19,6.92,18,182,,מע-דרום,2.795.463
בנין 3,101,72,B,15,5,127.68,12.26,6.93,17,181,,דר-מז,2.594.459
בנין 3,101,73,C,15,3,74.29,12.43,7.87,16,180,,מזרח,1.597.097
בנין 3,101,74,F,15,3,78.1,11.36,0,0,179,,מז-צפ,1.603.567
בנין 3,101,76,D,15,6,138.66,14.19,7.64,14,211,,מע-דרום,2.826.812
בנין 3,101,77,B,16,5,127.68,12.26,8.8,12,212,,דר-מז,2.632.585
בנין 3,101,78,C,16,3,74.29,12.43,6.41,80,178,,מזרח,1.600.566
בנין 3,101,80,E,16,5,124.16,14.19,10.3,5,41,,מע-צפ,2.595.455
בנין 3,101,81,D,16,6,138.66,14.19,9.79,6,22,,מע-דרום,2.869.215
